company_id,name,type,valuation,total_comp,base,rsu,bonus,remote_policy,eng_size,total_size,headquarters,ny_address,ai_notes,fit_category,fit_confidence
company-from-kristy-patalano-invitations-linkedin-com,justworks,private unicorn,1430,,,,,hybrid,,855,"new york, ny, united states","55 water st fl 29, new york, ny 10041","justworks uses ai for predictive analytics and workforce intelligence. they provide ai-powered people analytics that give instant answers to complex workforce questions, helping small businesses gain competitive advantages. the company also creates content about ai solutions for small business challenges and has conducted surveys about ai's impact on workers and policy concerns.",needs_more_info,0.8
company-from-praveen-kotla-inmail-hit-reply-linkedin-com,Company from Praveen Kotla <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-kiran-kumar-inmail-hit-reply-linkedin-com,Company from Kiran Kumar <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-kiran-kumar-invitations-linkedin-com,Company from Kiran Kumar <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-nell-codamon-nell-cpi-search-com,pinwheel,private,500,,,,,remote,,,"new york, new york, united states","335 madison avenue floor 16, new york, ny 10017","pinwheel positions itself as building financial products for the 'ai age' and mentions this in their job postings. they believe banks and financial service providers represent opportunities to build better experiences 'especially in the ai age.' however, the specific ai implementations in their products are not detailed in the available content.",needs_more_info,0.8
company-from-nick-carter-inmail-hit-reply-linkedin-com,doubleverify,public,2550,,,,,hybrid,,1197,"new york city, new york, united states","233 spring st. new york, ny 10013","doubleverify extensively uses ai across its platform. key ai implementations include dv scibids ai for campaign optimization and bidding algorithms, ai-powered brand safety and suitability controls, genai website avoidance & detection to protect against low-quality ai-generated content, and ai-driven fraud detection and viewability measurement. the company positions itself as leveraging ai to drive superior outcomes for global brands in digital advertising.",needs_more_info,0.8
company-from-rakesh-sinha-inmail-hit-reply-linkedin-com,"Company from ""Rakesh Sinha ."" <inmail-hit-reply@linkedin.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-chad-goldstein-inmail-hit-reply-linkedin-com,Company from Chad Goldstein <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-subhash-lingala-invitations-linkedin-com,Company from Subhash Lingala <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-shubham-somvanshi-inmail-hit-reply-linkedin-com,Company from Shubham Somvanshi <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-tara-mcbrien-inmail-hit-reply-linkedin-com,Company from Tara McBrien <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-liz-schrader-schmidt-inmail-hit-reply-linkedin-com,"Company from ""Liz (Schrader) Schmidt"" <inmail-hit-reply@linkedin.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-akshay-kumar-inmail-hit-reply-linkedin-com,Company from Akshay Kumar <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-tracey-owens-lion-inmail-hit-reply-linkedin-com,"Company from ""Tracey Owens (LION)"" <inmail-hit-reply@linkedin.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-hema-tulasi-inmail-hit-reply-linkedin-com,Company from Hema Tulasi <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-renelle-danica-plasabas-invitations-linkedin-com,Company from Renelle Danica Plasabas <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-richard-whaling-via-linkedin-invitations-linkedin-com,Company from Richard Whaling via LinkedIn <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-naresh-jagillapuram-inmail-hit-reply-linkedin-com,Company from Naresh Jagillapuram <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-zach-rottman-invitations-linkedin-com,Company from Zach Rottman <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-adam-carey-invitations-linkedin-com,Company from Adam Carey <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-linkedin-invitations-linkedin-com,Company from LinkedIn <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-joseph-soriano-invitations-linkedin-com,Company from Joseph Soriano <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-jayabalaji-s-inmail-hit-reply-linkedin-com,Company from Jayabalaji S <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-rohit-barve-inmail-hit-reply-linkedin-com,Company from Rohit Barve <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-jaclynn-l-inmail-hit-reply-linkedin-com,"Company from ""Jaclynn L."" <inmail-hit-reply@linkedin.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-holly-stewart-inmail-hit-reply-linkedin-com,Company from Holly Stewart <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-holly-stewart-invitations-linkedin-com,Company from Holly Stewart <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-jurien-garrison-invitations-linkedin-com,Company from Jurien Garrison <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-cheyenne-mitchell-inmail-hit-reply-linkedin-com,Company from Cheyenne Mitchell <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-sher-via-linkedin-messages-noreply-linkedin-com,"Company from ""Sher (via LinkedIn)"" <messages-noreply@linkedin.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-debra-druckenmiller-invitations-linkedin-com,Company from Debra Druckenmiller <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-santhana-stephen-raj-a-inmail-hit-reply-linkedin-com,Company from Santhana Stephen Raj A <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-saumya-singhani-inmail-hit-reply-linkedin-com,Company from Saumya Singhani <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-sher-arbaev-invitations-linkedin-com,Company from Sher Arbaev <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-jitesh-yadav-inmail-hit-reply-linkedin-com,Company from Jitesh Yadav <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-welcome-to-the-jungle-formerly-otta-help-welcometothejungle-com,"Company from ""Welcome to the Jungle (formerly Otta)"" <help@welcometothejungle.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-soumi-de-inmail-hit-reply-linkedin-com,Company from Soumi De <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-nitali-sharma-inmail-hit-reply-linkedin-com,Company from Nitali Sharma <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-matthew-kalinowski-inmail-hit-reply-linkedin-com,Company from Matthew Kalinowski <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-danny-macdonald-inmail-hit-reply-linkedin-com,Company from Danny Macdonald <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-ryan-carte-invitations-linkedin-com,Company from Ryan Carte <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-angeli-silang-inmail-hit-reply-linkedin-com,Company from Angeli Silang <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-matthew-porter-inmail-hit-reply-linkedin-com,Company from Matthew Porter <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-richard-shen-via-linkedin-invitations-linkedin-com,Company from Richard Shen via LinkedIn <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-santhosh-k-inmail-hit-reply-linkedin-com,"Company from ""Santhosh K."" <inmail-hit-reply@linkedin.com>",,,,,,,,,,,,,needs_more_info,0.8
company-from-marc-gammon-inmail-hit-reply-linkedin-com,Company from Marc Gammon <inmail-hit-reply@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
company-from-aditya-advani-via-linkedin-invitations-linkedin-com,Company from Aditya Advani via LinkedIn <invitations@linkedin.com>,,,,,,,,,,,,,needs_more_info,0.8
